"gene","LMB2_D1","LMB2_D2","LMB2_D4","LMB2_D5","LMB2_D6","LMB2_M1","LMB2_M2","LMB2_M3","LMB2_M5","LMB2_M7","symbol","product"
"LMB2-1.2_000001",266.414258712735,337.220029544655,324.261436176438,318.932420345354,258.389474633171,186.343783501184,532.645049761682,420.901635415237,1954.88073152146,2103.6496815399,NA,NA
"LMB2-1.2_000002",63.2733864442746,77.535992194574,63.491749740841,70.5094811046284,97.1544424620724,83.8988598702013,114.478936068182,68.9234792492359,34.5792582226673,4.70615141284093,NA,NA
"LMB2-1.2_000003",42.4597724823422,52.9213914978838,40.8161248333978,41.8137620504192,54.7785686222323,35.9145996637353,58.0344606456758,38.8112795772396,18.4422710520892,7.0592271192614,NA,NA
"LMB2-1.2_000004",86.584634081639,150.14906424981,90.7024996297728,117.242509278626,166.402821663762,131.294356147754,133.558758746213,119.779638695274,23.0528388151115,14.1184542385228,NA,NA
"LMB2-1.2_000005",222.289397113438,221.531406270211,199.5454991855,223.826608622832,231.516969271321,244.042648534726,244.062731756472,270.340637055255,64.5479486823123,28.2369084770456,NA,"AAA family ATPase"
"LMB2-1.2_000006",26.6414258712735,43.0755512192078,31.7458748704205,31.1553521159986,39.275200144242,31.4988701968826,43.724593637153,36.1346396063955,20.7475549336004,0,NA,NA
"LMB2-1.2_000007",10.8230792602049,15.9994904528486,6.80268747223296,13.1180429962099,5.16778949266343,6.77078518250747,3.1799704463384,10.0373998906654,0,0,NA,NA
"LMB2-1.2_000008",109.895881719003,111.99643316994,98.6389683473779,122.161775402205,119.892716229791,132.177502041124,111.298965621844,129.817038585939,39.1898259856896,2.35307570642047,NA,NA
"LMB2-1.2_000009",41.6272279238649,41.8448211843733,58.9566247593523,46.7330281739979,47.5436633325035,28.849432516771,63.599408926768,26.7663997084411,18.4422710520892,0,NA,NA
"LMB2-1.2_000010",31.6366932221373,30.7682508708627,20.4080624166989,28.6957190542092,45.4765475354382,26.4943768011162,48.4945493066606,38.8112795772396,9.22113552604461,11.7653785321023,NA,NA
"LMB2-1.2_000011",25.8088813127962,30.7682508708627,18.1404999259546,36.0746182395773,29.9731790574479,27.6719046589436,19.874815289615,20.7439597740419,18.4422710520892,2.35307570642047,NA,NA
"LMB2-1.2_000012",153.188198759823,146.456874145306,164.398280578963,154.137005205467,223.24850608306,209.305576728818,186.823263722381,145.207718418293,66.8532325638234,28.2369084770456,NA,"PD-(D/E)XK nuclease-like domain-containing protein"
"LMB2-1.2_000013",156.518376993732,123.073003483451,116.779468273332,136.919573772941,176.738400649089,163.676372238007,159.793514928505,159.260078265225,41.4951098672007,9.41230282568186,"bet;go_function=DNA binding|0003677||IEA;go_process=DNA metabolic process|0006259||IEA","phage recombination protein Bet"
"LMB2-1.2_000014",50.7852180671152,43.0755512192078,52.1539372871194,53.2920496721029,51.6778949266343,43.2741487751565,69.1643572078602,44.8337195116389,4.6105677630223,4.70615141284093,NA,NA
"LMB2-1.2_000015",24.9763367543189,22.1531406270211,22.6756249074432,19.6770644943149,18.6040421735883,22.961793227634,27.824741405461,20.7439597740419,0,2.35307570642047,NA,NA
"LMB2-1.2_000016",41.6272279238649,39.3833611147042,29.4783123796762,36.8944959268405,41.3423159413074,30.6157243035121,46.1095714719068,24.758919730308,11.5264194075558,0,NA,NA
