"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","product"
"LMB2-1.2_002332",1218.68247681383,-0.000284729017776332,0.591269063365028,-0.000481555750872341,0.999615774116063,0.999615774116063,"rpsH;go_component=ribosome|0005840||IEA;go_function=structural constituent of ribosome|0003735||IEA;go_process=translation|0006412||IEA","30S ribosomal protein S8"
"LMB2-1.2_000255",526.198118473685,-0.00152903242117846,0.352515981732248,-0.00433748397353466,0.996539199356573,0.998897134799984,NA,"NUDIX hydrolase"
"LMB2-1.2_000714",168.292389765222,-0.000443148339066121,0.165812603418584,-0.00267258537607916,0.997867587929534,0.998897134799984,NA,"MarR family transcriptional regulator"
"LMB2-1.2_000863",265.527003586566,0.000597443052705889,0.239684816242899,0.00249261952455275,0.998011179424878,0.998897134799984,NA,"hypothetical protein"
"LMB2-1.2_001175",350.963642371162,0.00054613009239087,0.255125961223088,0.00214062923966143,0.998292026283677,0.998897134799984,NA,"SDR family NAD(P)-dependent oxidoreductase"
"LMB2-1.2_001938",305.713928325145,-0.000336155005439741,0.118379593938363,-0.00283963641246114,0.997734300993128,0.998897134799984,NA,"antibiotic biosynthesis monooxygenase"
"LMB2-1.2_002114",298.744736089957,0.000306145362123841,0.174524135663279,0.00175417205740819,0.998600373916205,0.998897134799984,NA,"CPBP family intramembrane metalloprotease"
"LMB2-1.2_003139",303.583113302685,0.000500460067203434,0.202389032941088,0.00247276277736407,0.99802702276806,0.998897134799984,NA,"sigma-70 family RNA polymerase sigma factor"
"LMB2-1.2_003191",126.882437103974,-0.000288304019785078,0.152443514146204,-0.00189121866810663,0.998491026723142,0.998897134799984,NA,NA
"LMB2-1.2_001181",485.354684385888,-0.00104246727591151,0.149204914702891,-0.00698681593691035,0.994425372789597,0.997091392555789,NA,"aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme"
"LMB2-1.2_003696",571.29631979116,-0.00306414257619419,0.432953582084281,-0.00707730043817425,0.994353178388094,0.997091392555789,NA,"DUF3560 domain-containing protein"
"LMB2-1.2_001536",304.79428332529,0.00225626153917275,0.289361839785644,0.0077973707274054,0.993778661323663,0.997036952016527,NA,"alpha/beta hydrolase"
"LMB2-1.2_000438",220.29495944776,0.00236968404968193,0.272799539205051,0.00868653978150875,0.993069231182962,0.996864765008168,"purN;go_function=phosphoribosylglycinamide formyltransferase activity|0004644||IEA;go_process=purine ribonucleotide biosynthetic process|0009152||IEA","phosphoribosylglycinamide formyltransferase"
"LMB2-1.2_001569",300.242086459386,-0.00128979306371864,0.150200410564662,-0.00858714739107437,0.993148531878942,0.996864765008168,NA,"acyl-CoA synthetase"
